id,partidaId,timeId,jogadorId,tempo,minuto,jogador,time
0,0,1,0,1T,12:00,Jean Lucas de Souza Oliveira,Bahia
1,0,0,1,1T,29:00,Mauricio Magalhaes Prado,Internacional
2,0,0,2,1T,40:00,Fernando Francisco Reges,Internacional
3,0,0,3,2T,42:00,Lucas Nicolas Alario,Internacional
4,1,3,4,1T,26:00,Gregore de Magalhaes Silva,Botafogo
5,1,2,5,1T,31:00,Arthur Gomes Lourenco,Cruzeiro Saf
6,1,2,6,1T,36:00,Jose Ivaldo Almeida Silva,Cruzeiro Saf
7,1,3,7,1T,36:00,Jose Antonio dos Santos Junior,Botafogo
8,1,2,8,2T,20:00,Rafael da Silva,Cruzeiro Saf
9,1,3,9,2T,38:00,Danilo Barbosa da Silva,Botafogo
10,2,4,10,1T,15:00,Alerrandro Barra Mansa Realino de Souza,Vitória
11,2,5,11,1T,16:00,Richard Rios Montoya,Palmeiras
12,2,4,12,2T,07:00,Cleidson Andrade de Souza Silva,Vitória
13,2,5,13,2T,12:00,Gabriel Vinicius Menino,Palmeiras
14,2,5,14,2T,40:00,Mayke Rocha de Oliveira,Palmeiras
15,3,6,15,1T,28:00,Marcus Vinicius Oliveira Alencar,Fluminense
16,3,7,16,1T,43:00,Luis Antonio da Rocha Junior,Red Bull Bragantino
17,3,7,17,2T,09:00,Luan Candido de Almeida,Red Bull Bragantino
18,3,6,18,2T,18:00,Claudio Rodrigues Gomes,Fluminense
19,3,7,19,2T,36:00,Vitor Hugo Naum dos Santos,Red Bull Bragantino
20,3,7,20,2T,38:00,Jadsom Meemyas de Oliveira da Silva,Red Bull Bragantino
21,4,9,21,2T,45:00,Joao Pedro Geraldino dos Santos Galvao,Grêmio
22,5,11,22,1T,01:00,Rodrigo Andr,Atlético Mineiro Saf
23,5,11,23,1T,21:00,Jemerson de Jesus Nascimento,Atlético Mineiro Saf
24,5,10,24,1T,28:00,Angel Rodrigo Romero Villamayor,Corinthians
25,5,10,25,1T,32:00,Fagner Conserva Lemos,Corinthians
26,5,10,26,1T,33:00,Raniele Almeida Melo,Corinthians
27,5,11,27,2T,05:00,Givanildo Vieira de Sousa,Atlético Mineiro Saf
28,5,11,28,2T,18:00,Everson Felipe Marques Pires,Atlético Mineiro Saf
29,5,11,29,2T,22:00,Renzo Saravia,Atlético Mineiro Saf
30,5,10,30,2T,36:00,Matheus Franca Silva,Corinthians
31,5,10,31,2T,45:00,Hugo Ferreira de Farias,Corinthians
32,6,13,32,1T,22:00,Tomas Pochettino,Fortaleza
33,6,13,33,2T,05:00,Emanuel Britez,Fortaleza
34,6,13,34,2T,08:00,Juan Martin Lucero,Fortaleza
35,6,12,35,2T,30:00,Luciano da Rocha Neves,São Paulo
36,7,15,36,1T,40:00,Derik Gean Severino Lacerda,Cuiabá Saf
37,7,15,37,1T,45:00,Alan Pereira Empereur,Cuiabá Saf
38,7,15,38,2T,35:00,Filipe Augusto Carvalho Souza,Cuiabá Saf
39,8,16,39,1T,06:00,Rhaldney Norberto Simi,Atlético
40,8,17,40,1T,23:00,Leonardo Pereira,Flamengo
41,8,16,41,1T,36:00,Alejo Cruz Techera,Atlético
42,8,17,42,1T,44:00,Fabricio Bruno Soares de Faria,Flamengo
43,9,19,43,1T,32:00,Joao Lucas de Almeida Carvalho,Juventude
44,9,19,44,1T,33:00,Jose Marcos Alves Luis,Juventude
45,9,18,45,2T,13:00,Fellipe Mateus de Sena Araujo,Criciúma
46,9,19,46,2T,18:00,Caique de Jesus Goncalves,Juventude
47,9,18,47,2T,21:00,Marcos Gabriel do Nascimento,Criciúma
