id,nome,cbf
0,Jean Lucas de Souza Oliveira,6
1,Mauricio Magalhaes Prado,27
2,Fernando Francisco Reges,5
3,Lucas Nicolas Alario,31
4,Gregore de Magalhaes Silva,26
5,Arthur Gomes Lourenco,11
6,Jose Ivaldo Almeida Silva,5
7,Jose Antonio dos Santos Junior,11
8,Rafael da Silva,8
9,Danilo Barbosa da Silva,5
10,Alerrandro Barra Mansa Realino de Souza,9
11,Richard Rios Montoya,27
12,Cleidson Andrade de Souza Silva,13
13,Gabriel Vinicius Menino,25
14,Mayke Rocha de Oliveira,12
15,Marcus Vinicius Oliveira Alencar,77
16,Luis Antonio da Rocha Junior,29
17,Luan Candido de Almeida,36
18,Claudio Rodrigues Gomes,23
19,Vitor Hugo Naum dos Santos,28
20,Jadsom Meemyas de Oliveira da Silva,5
21,Joao Pedro Geraldino dos Santos Galvao,11
22,Rodrigo Andr,21
23,Jemerson de Jesus Nascimento,34
24,Angel Rodrigo Romero Villamayor,11
25,Fagner Conserva Lemos,23
26,Raniele Almeida Melo,14
27,Givanildo Vieira de Sousa,7
28,Everson Felipe Marques Pires,22
29,Renzo Saravia,26
30,Matheus Franca Silva,2
31,Hugo Ferreira de Farias,46
32,Tomas Pochettino,7
33,Emanuel Britez,19
34,Juan Martin Lucero,9
35,Luciano da Rocha Neves,10
36,Derik Gean Severino Lacerda,22
37,Alan Pereira Empereur,33
38,Filipe Augusto Carvalho Souza,5
39,Rhaldney Norberto Simi,8
40,Leonardo Pereira,4
41,Alejo Cruz Techera,7
42,Fabricio Bruno Soares de Faria,15
43,Joao Lucas de Almeida Carvalho,2
44,Jose Marcos Alves Luis,3
45,Fellipe Mateus de Sena Araujo,7
46,Caique de Jesus Goncalves,95
47,Marcos Gabriel do Nascimento,10
48,Alex Paulo Menezes Santana,80
49,Jose Vitor Silva Neves,30
50,Gustavo Nunes Fernandes Gomes,39
51,Lucas Angel Esquivel,37
52,Rodrigo Fagundes de Freitas,3
53,Marcelo Hermes,22
54,Guilherme Antonio Arana Lopes,13
55,Higor Matheus Meritao,5
56,Alan Steven Franco Palma,23
57,Caio Alexandre Sousa E Silva,19
58,Thaciano Mickael da Silva,16
59,Vinicius Moreira de Lima,45
60,Matheus Martinelli Lima,8
61,Everton Augusto de Barros Ribeiro,10
62,John Kennedy Batista de Souza,9
63,Alexsander Cristhian Gomes da Costa,5
64,Paulo Henrique Chagas de Lima,10
65,Everaldo Stum,9
66,Igor Vinicius de Souza,2
67,Fabricio Bruno Soares de Faria,15
68,Michel Daryl Araujo Villar,15
69,Luciano da Rocha Neves,10
70,Pedro Henrique Pereira da Silva,4
71,Lucas Halter,3
72,Francisco das Chagas Soares dos Santos,9
73,Rhaldney Norberto Simi,5
74,Luiz Felipe do Nascimento dos Santos,3
75,Bruno Nunes de Barros,2
76,Patrick de Paula Carreiro,8
77,Rafael Santos Borre Maury,19
78,Gabriel Ivan Mercado,25
79,Jose Manuel Alberto Lopez,42
80,Anibal Ismael Moreno,5
81,Wesley Ribeiro Silva,21
