id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,estadio,casa,visitante,numAmarelos,numVermelhos
0,1 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,1,13/04/2024,18:30,1110,José Pinheiro Borda / Porto Alegre,0,1,9,0
1,2 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,1,14/04/2024,17:00,1020,Magalhães Pinto / Belo Horizonte,2,3,7,0
2,3 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,1,14/04/2024,18:30,1110,Manoel Barradas / Salvador,4,5,8,0
3,4 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,1,13/04/2024,21:00,1260,Jornalista Mário Filho / Rio de Janeiro,6,7,8,0
4,5 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,1,14/04/2024,16:00,960,São Januário / Rio de Janeiro,8,9,6,0
5,6 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,1,14/04/2024,16:00,960,Arena Corinthians / Sao Paulo,10,11,15,0
6,7 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,1,13/04/2024,21:00,1260,Cícero Pompeu de Toledo / Sao Paulo,12,13,4,0
7,8 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,1,14/04/2024,16:00,960,Ligga Arena / Curitiba,14,15,3,0
8,9 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,1,14/04/2024,16:00,960,Serra Dourada / Goiania,16,17,8,0
9,10 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,1,13/04/2024,18:30,1110,Heriberto Hulse / Criciuma,18,19,10,0
10,11 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,2,17/04/2024,19:00,1140,Arena do Grêmio / Porto Alegre,9,14,4,0
11,12 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,2,17/04/2024,20:00,1200,ARENA MRV / Belo Horizonte,11,18,6,0
12,13 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,2,16/04/2024,21:30,1290,Octávio Mangabeira / Salvador,1,6,9,0
13,14 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,13,2,17/04/2024,21:30,1290,Jornalista Mário Filho / Rio de Janeiro,17,12,4,0
14,15 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,14,2,18/04/2024,21:30,1290,Nilton Santos / Rio de Janeiro,3,16,7,0
15,16 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,15,2,17/04/2024,20:00,1200,Arena Barueri / Barueri,5,0,7,0
16,17 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,2,17/04/2024,19:00,1140,Nabi Abi Chedid / Braganca Paulista,7,8,3,0
17,18 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,2,17/04/2024,20:00,1200,Governador Plácido Aderaldo Castelo / Fortaleza,13,2,4,0
18,19 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,18,2,05/06/2024,20:00,1200,Arena Pantanal / Cuiaba,15,4,7,0
19,20 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,19,2,17/04/2024,20:00,1200,Alfredo Jaconi / Caxias do Sul,19,10,3,0
20,21 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,3,20/04/2024,18:30,1110,Arena do Grêmio / Porto Alegre,9,15,6,0
21,22 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,20,3,20/04/2024,21:00,1260,ARENA MRV / Belo Horizonte,11,2,4,0
22,23 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,21,3,21/04/2024,16:00,960,Manoel Barradas / Salvador,4,1,6,0
23,24 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,18,3,20/04/2024,16:00,960,Jornalista Mário Filho / Rio de Janeiro,6,8,9,0
24,25 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,22,3,21/04/2024,18:30,1110,Nilton Santos / Rio de Janeiro,3,19,6,0
25,26 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,3,21/04/2024,16:00,960,Allianz Parque / Sao Paulo,5,17,11,0
26,27 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,23,3,20/04/2024,18:30,1110,Nabi Abi Chedid / Braganca Paulista,7,10,7,0
27,28 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,24,3,21/04/2024,16:00,960,Ligga Arena / Curitiba,14,0,9,0
28,29 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,3,21/04/2024,18:30,1110,Antônio Accioly / Goiania,16,12,4,0
29,30 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,3,24/07/2024,19:00,1140,Heriberto Hulse / Criciuma,18,13,1,0
30,31 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,25,4,28/04/2024,20:00,1200,José Pinheiro Borda / Porto Alegre,0,16,4,0
31,32 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,26,4,28/04/2024,16:00,960,Magalhães Pinto / Belo Horizonte,2,4,2,0
32,33 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,4,27/04/2024,21:00,1260,Octávio Mangabeira / Salvador,1,9,8,0
33,34 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,21,4,28/04/2024,11:00,660,Jornalista Mário Filho / Rio de Janeiro,17,3,5,0
34,35 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,27,4,27/04/2024,16:00,960,São Januário / Rio de Janeiro,8,18,1,0
35,36 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,20,4,28/04/2024,16:00,960,Arena Corinthians / Sao Paulo,10,6,6,0
36,37 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,18,4,29/04/2024,20:00,1200,Cícero Pompeu de Toledo / Sao Paulo,12,5,10,0
37,38 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,28,4,28/04/2024,18:30,1110,Governador Plácido Aderaldo Castelo / Fortaleza,13,7,2,0
38,39 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,29,4,27/04/2024,18:30,1110,Arena Pantanal / Cuiaba,15,11,8,0
39,40 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,4,28/04/2024,18:30,1110,Alfredo Jaconi / Caxias do Sul,19,14,5,0
40,41 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,28,5,25/09/2024,19:00,1140,Arena do Grêmio / Porto Alegre,9,18,7,0
41,42 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,19,5,28/08/2024,19:30,1170,Magalhães Pinto / Belo Horizonte,2,0,9,0
42,43 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,20,5,05/05/2024,16:00,960,Manoel Barradas / Salvador,4,12,7,0
43,44 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,21,5,04/05/2024,16:00,960,Kleber José de Andrade / Cariacica,6,11,7,0
