id,nome,credencial,estado
0,Anderson Daronco,FIFA,RS
1,Felipe Fernandes de Lima,AB,MG
2,Rodolpho Toski Marques,FIFA,PR
3,Caio Max Augusto Vieira,AB,RN
4,Vinicius Gonçalves Dias Araujo,AB,SP
5,Savio Pereira Sampaio,AB,DF
6,Bruno Arleu de Araujo,FIFA,RJ
7,Jefferson Ferreira de Moraes,AB,GO
8,Marielson Alves Silva,AB,BA
9,Denis da Silva Ribeiro Serafim,AB,AL
10,Edina Alves Batista,FIFA,SP
11,Leo Simão Holanda,AB,CE
12,Jean Pierre Goncalves Lima,AB,RS
13,Marcelo de Lima Henrique,MTR,RJ
14,Braulio da Silva Machado,FIFA,SC
15,Paulo Roberto Alves Junior,AB,PR
16,Raphael Claus,FIFA,SP
17,Vinicius Gomes do Amaral,AB,RS
18,Paulo Cesar Zanovelli,CD,MG
19,Diego Pombo Lopez,AB,BA
20,Ramon Abatti Abel,AB,SC
21,Flavio Rodrigues de Souza,FIFA,SP
22,Alexandre Vargas Tavares de Jesus,AB,RJ
23,Ricardo Marques Ribeiro,MTR,MG
24,Wagner do Nascimento Magalhaes,FIFA,RJ
25,Leandro Pedro Vuaden,MTR,RS
26,Dyorgines Jose Padovani de Andrade,AB,ES
27,Thiago Luis Scarascati,CD,SP
28,Antonio Dib Moraes de Sousa,AB,PI
29,Luiz Flavio de Oliveira,FIFA,SP
30,Douglas Schwengber da Silva,AB,RS
31,Alisson Sidnei Furtado,AB,TO
32,Douglas Marques das Flores,AB,SP
33,Wilton Pereira Sampaio,FIFA,GO
34,Heber Roberto Lopes,MTR,SC
35,Rafael Traci,FIFA,SC
36,Andre Luiz de Freitas Castro,MTR,GO
37,Adriano Barros Carneiro,AB,CE
38,Paulo Cesar Zanovelli da Silva,AB,MG
39,Zandick Gondim Alves Junior,AB,RN
