id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
0,1 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,1,10/04/2022,16:00,960,16,Tarde,Magalhães Pinto / Belo Horizonte,0,1,6,0
1,2 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,1,09/04/2022,16:30,990,16,Tarde,Jornalista Mário Filho / Rio de Janeiro,2,3,1,0
2,3 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,1,10/04/2022,19:00,1140,19,Noite,Cícero Pompeu de Toledo / Sao Paulo,4,5,4,0
3,4 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,1,09/04/2022,21:00,1260,21,Noite,Allianz Parque / Sao Paulo,6,7,14,0
4,5 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,1,10/04/2022,16:00,960,16,Tarde,Nilton Santos / Rio de Janeiro,8,9,6,0
5,6 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,1,11/04/2022,20:00,1200,20,Noite,Alfredo Jaconi / Caxias do Sul,10,11,11,0
6,7 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,1,10/04/2022,18:00,1080,18,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,12,13,5,0
7,8 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,1,09/04/2022,19:00,1140,19,Noite,Antônio Accioly / Goiania,14,15,5,0
8,9 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,1,10/04/2022,19:00,1140,19,Noite,Aderbal Ramos da Silva / Florianopolis,16,17,6,2
9,10 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,1,10/04/2022,11:00,660,11,Manha,Major Antônio Couto Pereira / Curitiba,18,19,6,0
10,11 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,2,16/04/2022,19:00,1140,19,Noite,Raimundo Sampaio / Belo Horizonte,17,10,3,1
11,12 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,2,17/04/2022,16:00,960,16,Tarde,Jornalista Mário Filho / Rio de Janeiro,15,4,8,0
12,13 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,2,17/04/2022,18:00,1080,18,Noite,Nabi Abi Chedid / Braganca Paulista,11,14,5,0
13,14 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,2,16/04/2022,19:00,1140,19,Noite,Arena Corinthians / Sao Paulo,9,16,2,0
14,15 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,2,17/04/2022,11:00,660,11,Manha,Urbano Caldeira / Santos,3,18,6,0
15,16 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,2,17/04/2022,18:00,1080,18,Noite,José Pinheiro Borda / Porto Alegre,1,12,10,0
16,17 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,2,17/04/2022,19:00,1140,19,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,7,8,5,1
17,18 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,2,16/04/2022,16:30,990,16,Tarde,Hailé Pinheiro / Goiania,19,6,6,0
18,19 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,13,2,16/04/2022,21:00,1260,21,Noite,Arena Pantanal / Cuiaba,13,2,3,0
19,20 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,2,17/04/2022,18:00,1080,18,Noite,Joaquim Américo Guimarães / Curitiba,5,0,5,0
20,21 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,13,3,23/04/2022,21:00,1260,21,Noite,Raimundo Sampaio / Belo Horizonte,0,18,4,0
21,22 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,3,23/04/2022,19:00,1140,19,Noite,Jornalista Mário Filho / Rio de Janeiro,2,1,9,0
22,23 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,3,23/04/2022,16:30,990,16,Tarde,Nabi Abi Chedid / Braganca Paulista,11,4,7,1
23,24 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,3,23/04/2022,19:00,1140,19,Noite,Arena Barueri / Barueri,6,9,3,0
24,25 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,3,24/04/2022,16:00,960,16,Tarde,Urbano Caldeira / Santos,3,17,2,0
25,26 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,3,24/04/2022,18:00,1080,18,Noite,Alfredo Jaconi / Caxias do Sul,10,13,6,1
26,27 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,3,01/06/2022,20:30,1230,20,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,12,7,10,2
27,28 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,3,24/04/2022,18:30,1110,18,Noite,Antônio Accioly / Goiania,14,8,3,0
28,29 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,14,3,25/04/2022,20:00,1200,20,Noite,Aderbal Ramos da Silva / Florianopolis,16,19,10,1
29,30 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,3,23/04/2022,16:30,990,16,Tarde,Joaquim Américo Guimarães / Curitiba,5,15,6,0
30,31 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,15,4,30/04/2022,16:30,990,16,Tarde,Raimundo Sampaio / Belo Horizonte,17,5,1,0
31,32 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,4,20/04/2022,19:30,1170,19,Noite,Jornalista Mário Filho / Rio de Janeiro,15,6,8,0
