id,nome,cbf
0,Gabriel Barbosa Almeida,10
1,Fabricio Bruno Soares de Faria,15
2,Mario Sergio Santos Costa,31
3,Ocimar de Almeida Junior,23
4,William de Oliveira Pottker,90
5,Jose Roberto Assunçao de Araujo Filho,18
6,Jonathan Calleri,9
7,Jhegson Sebastian Mendez Carabali,21
8,Carlos Eduardo de Oliveira Alves,33
9,Victor Leandro Cuesta,15
10,Leonel Di Placido,24
11,Jhonatan dos Santos Rosa,40
12,Jose Manuel Alberto Lopez,18
13,Abel Fernando Moreira Ferreira,TC
14,TGVitor Ilidio Castanheiras Penas,
15,Mateus da Silva Duarte,98
16,Deyverson Brum Silva,16
17,Filipe Augusto Carvalho Souza,5
18,Jonathan Renato Barbosa,7
19,Filipe Augusto Carvalho Souza -,5
20,Abel Fernando Moreira Ferreira -,TC
21,Fagner Conserva Lemos,23
22,Roger Krug Guedes,10
23,Roni Medeiros de Moura,29
24,Fausto Mariano Vera,5
25,Maycon Vinicius Ferreira da Cruz,10
26,Lucas da Cruz Oliveira,26
27,Francisco Vitor Silva Costa,29
28,Luis Antonio da Rocha Junior,29
29,Lucas Alexandre Galdino de Azevedo,40
30,Jadsom Meemyas de Oliveira da Silva,5
31,Renzo Saravia,26
32,Otavio Henrique Passos Santos,5
33,Federico Matias Zaracho,15
34,Givanildo Vieira de Sousa,7
35,Cristian David Pavon,9
36,Paolo Mauricio Lemos Merladett,28
37,Andrey Nascimento dos Santos,18
38,Pedro Raul Garay da Silva,9
39,Robson Alves de Barros,30
40,Gabriel Fortes Chaves,11
41,Rodrigo Alves de Holanda Santos,26
42,Mauricio Nogueira Barbieri -,TC
43,Douglas Moreira Fagundes,19
44,Guilherme de Aguiar Camacho,29
45,Yeferson Julio Soteldo Martinez,10
46,Vinicius Goes Barbosa de Souza,11
47,Walter Kannemann,4
48,Darlan Pereira Mendes,37
49,Yeferson Julio Soteldo Martinez -,10
50,Sidimar Fernando Cigolini,4
51,Bruno Ferreira Melo,19
52,Jhonny Lucas Flora Barboza,77
53,Pedro Henrique Ribeiro Goncalves,34
54,Antonio Carlos Pracidelli,AT
55,Pablo Felipe Teixeira,92
56,Sidnei de Espirito,AT
57,Rodrigo Modesto da Silva Moledo,4
58,Guilherme Augusto Vieira dos Santos,29
59,Emanuel Britez,19
60,Vitor Mendes Alves,4
61,John Kennedy Batista de Souza,9
62,Severino do Ramo Clementino da Silva,2
63,Regis Angeli,AT
64,PFLucas Vinicius O. do Nascimento,
65,Iago Justen Maidana Martins,3
66,Eder Ferreira Graminho,33
67,Marcos da Silva Franca,11
68,Samuel Xavier Brito,2
69,Thiago dos Santos,29
70,Erick Luis Conrado Carvalho,26
71,Pedro Henrique Azevedo Pereira,48
72,Pablo Felipe Teixeira,92
73,Jose Rafael Vivian,8
74,Gabriel Vinicius Menino,25
75,Murilo Cerqueira Paim,26
76,Jair Rodrigues Junior,8
77,Lucas Piton Crivellaro,6
78,Pedro Raul Garay da Silva,9
79,Gabriel Fortes Chaves,11
80,Pablo Gonçalves Maia Fortunato,29
81,Dorival Silvestre Junior,TC
82,Luciano da Rocha Neves,10
83,Patryck Lanza dos Reis,36
84,Rai dos Reis Ramos,34
85,Marcos Paulo Costa do Nascimento,32
86,Lucas Kal Schenfeld Prigioli,21
87,Eder Ferreira Graminho,33
88,Everaldo Silva do Nascimento,37
89,Otavio Henrique Passos Santos,5
90,Hyoran Kaue Dalmoro,20
91,Mariano Ferreira Filho,25
92,Rodrigo Fernandez Cedres,14
93,Douglas Moreira Fagundes,19
94,Luan Dias da Silva,97
95,Fausto Mariano Vera,5
96,Fabio Santos Romeu,6
97,Jose Ricardo Araujo Fernandes,5
98,Bruno Ferreira Melo,19
99,Julian Eduardo Palacios,10
100,Lucas Halter,3
101,Matheus Vieira Campos Peixoto,17
102,Luis Alberto Suarez Diaz,9
103,Walter Kannemann,4
104,Richard Candido Coelho,25
105,Lucas da Cruz Oliveira,6
106,Marlon Rodrigues Xavier,3
107,Ramiro Moschen Benetti,17
108,Gilberto Oliveira Souza Junior,21
109,Lucas da Cruz Oliveira -,6
110,Luiz Antonio Venker Menezes,TC
