id,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
0,2,5,19,2,11:00,56,Filipe Augusto Carvalho Souza -,Cuiabá Saf,1031,17:11
1,2,4,20,1,45:00,45,Abel Fernando Moreira Ferreira -,Palmeiras,1005,16:45
2,5,11,42,1,36:00,36,Mauricio Nogueira Barbieri -,Vasco da Gama S.a.f.,1296,21:36
3,6,13,49,2,41:00,86,Yeferson Julio Soteldo Martinez -,Santos,1211,20:11
4,15,7,109,2,52:00,97,Lucas da Cruz Oliveira -,Cruzeiro Saf,1372,22:52
5,20,2,134,2,5:00,50,Rafael Pereira da Silva -,Botafogo,1025,17:05
6,20,2,135,2,11:00,56,Luis Manuel Ribeiro de Castro -,Botafogo,1031,17:11
7,23,13,158,2,48:00,93,Eduardo Gabriel dos Santos Bauermann -,Santos,1218,20:18
8,24,8,166,1,26:00,26,Aderlan de Lima Silva -,Red Bull Bragantino,1136,18:56
9,24,8,167,2,33:00,78,Cleiton Schwengber -,Red Bull Bragantino,1203,20:03
10,25,14,175,2,35:00,80,Alex Paulo Menezes Santana -,Athletico Paranaense,1355,22:35
11,26,15,181,2,16:00,61,Magno Jose da Silva -,Goiás,1186,19:46
12,29,5,200,2,51:00,96,Itaro Patric Cardoso Calmon -,Cuiabá Saf,1221,20:21
13,34,15,231,1,40:00,40,Lucas Halter -,Goiás,1150,19:10
14,39,18,270,2,44:00,89,Matheus Fernando Cavichioli -,América Fc Saf,764,12:44
15,45,19,306,2,31:00,76,André Trindade da Costa Neto -,Fluminense,1381,23:01
16,48,3,322,2,25:00,70,Rodrigo Nestor Bertalia -,São Paulo,1285,21:25
17,48,16,323,2,17:00,62,Emanuel Britez -,Fortaleza,1277,21:17
18,53,3,353,1,23:00,23,Lucas Khodor Silvestre -,São Paulo,983,16:23
19,58,9,393,2,28:00,73,Julio Cesar de Rezende Miranda -,Bahia,1048,17:28
20,58,9,394,2,31:00,76,Victor Hugo Soares dos Santos -,Bahia,1051,17:31
21,66,12,427,2,7:00,52,Walter Kannemann -,Grêmio,1177,19:37
22,67,1,439,2,9:00,54,Jose Roberto Assunçao de Araujo Filho -,Coritiba,1179,19:39
23,67,10,440,2,43:00,88,Paolo Mauricio Lemos Merladett -,Atlético Mineiro,1213,20:13
24,91,2,577,1,40:00,40,João Carlos Magalhães Brandão -,Botafogo,1300,21:40
25,92,3,585,2,48:00,93,Pablo Gonçalves Maia Fortunato -,São Paulo,1068,17:48
