id,nome,credencial,estado
0,Thiago Luis Scarascati,CD,SP
1,Paulo Cesar Zanovelli,CD,MG
2,Rafael Carlos Salgueiro Lima,CD,AL
3,Emerson Ricardo de Almeida Andrade,AB,BA
4,Djonaltan Costa de Araujo,CD,PA
5,Tiago Nascimento dos Santos,AB,PE
6,Rodrigo Carvalhaes de Miranda,AB,RJ
7,Felipe da Silva Gonçalves Paludo,CD,RJ
8,Andre Rodrigo Rocha,AB,TO
9,José Mendonça da Silva Junior,AB,PR
10,Dewson Fernando Freitas da Silva,MTR,PA
11,Adriano Barros Carneiro,AB,CE
12,Pablo Ramon Goncalves Pinheiro,AB,RN
13,Douglas Marques das Flores,AB,SP
14,Jose Ricardo Vasconcellos Laranjeira,CD,AL
15,Diego Fernando Silva de Lima,CD,PE
16,Rodrigo Batista Raposo,AB,DF
17,Salim Fende Chavez,AB,SP
18,Leonardo Sígari Zanon,AB,PR
19,Ricarle Gustavo Gonçalves Batista,CD,BA
20,Alisson Sidnei Furtado,AB,TO
21,Fábio Augusto Santos Sá Junior,CD,SE
22,Jonathan Antero Silva,AB,RO
23,Vinicius Furlan,AB,SP
24,Paulo Henrique Schleich Vollkopf,AB,MS
25,Ivan da Silva Guimarães Junior,AB,AM
26,Diego da Costa Cidral,CD,SC
27,Lucas Paulo Torezin,AB,PR
28,Rodrigo da Fonseca Silva,CD,MT
29,Marco Aurelio Augusto Fazekas Ferreira,AB,MG
30,Vinicius Gomes do Amaral,AB,RS
31,Luiz Augusto Silveira Tisne,CD,SC
32,Antonio Dib Moraes de Sousa,AB,PI
33,Ramon Abatti Abel,AB,SC
34,Wanderson Alves de Sousa,AB,MG
35,Rafael Martins de Sá,CD,RJ
36,Adriano Milczvski,AB,PR
37,Douglas Schwengber da Silva,AB,RS
38,Zandick Gondim Alves Junior,AB,RN
39,Vinicius Gonçalves Dias Araujo,AB,SP
40,Diego da Silva Castro,AB,PI
41,Antonio Magno Lima Cordeiro,CD,CE
42,Dyorgines Jose Padovani de Andrade,AB,ES
43,Andre Luiz de Freitas Castro,MTR,GO
44,Jean Pierre Goncalves Lima,AB,RS
45,Jefferson Ferreira de Moraes,AB,GO
46,Maguielson Lima Barbosa,CD,DF
47,Rodolpho Toski Marques,FIFA,PR
48,Alexandre Vargas Tavares de Jesus,AB,RJ
49,Rodrigo Jose Pereira de Lima,CD,PE
50,Diego Pombo Lopez,AB,BA
51,Leonilson Fernandes Trigueiro Filho,CD,RN
52,Heber Roberto Lopes,MTR,SC
53,Igor Junio Benevenuto de Oliveira,AB,MG
54,Elmo Alves Resende Cunha,MTR,GO
55,Rodrigo Dalonso Ferreira,VAR-FIFA,SC
56,Emerson de Almeida Ferreira,AB,MG
57,Gilberto Rodrigues Castro Junior,AB,PE
58,Daniel Nobre Bins,AB,RS
59,Denis da Silva Ribeiro Serafim,AB,AL
60,Marcelo de Lima Henrique,MTR,RJ
61,Ricardo Marques Ribeiro,MTR,MG
62,Leandro Pedro Vuaden,MTR,RS
63,Felipe Fernandes de Lima,AB,MG
64,Savio Pereira Sampaio,AB,DF
65,Caio Max Augusto Vieira,AB,RN
66,Edina Alves Batista,FIFA,SP
67,Wagner do Nascimento Magalhaes,FIFA,RJ
68,Marielson Alves Silva,AB,BA
69,Braulio da Silva Machado,FIFA,SC
70,Luiz Flavio de Oliveira,FIFA,SP
71,Grazianni Maciel Rocha,AB,RJ
72,Bruno Arleu de Araujo,FIFA,RJ
73,Paulo Henrique de Melo Salmazio,AB,MS
74,Rafael Traci,FIFA,SC
75,Leo Simão Holanda,AB,CE
76,Wilton Pereira Sampaio,FIFA,GO
77,Paulo Roberto Alves Junior,AB,PR
78,Flavio Rodrigues de Souza,FIFA,SP
79,Paulo Cesar Zanovelli da Silva,AB,MG
80,Anderson Daronco,FIFA,RS
81,Raphael Claus,FIFA,SP
82,Paulo Renato Moreira da Silva Coelho,CD,RJ
