id,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
0,7,15,47,2,45:00,90,Wagner Leonardo Calvelo de Souza -,Cruzeiro Saf,1395,23:15
1,12,11,73,2,25:00,70,Djavan Aulim Candido de Souza -,Náutico,1375,22:55
2,12,14,74,1,12:00,12,Douglas do Espirito Santo Torres -,Bahia,1302,21:42
3,15,0,86,2,14:00,59,TGLauro Junior Batista da Cruz -,Ponte Preta,734,12:14
4,15,0,87,2,48:00,93,Moises Ribeiro Santos -,Ponte Preta,768,12:48
5,21,14,115,2,46:00,91,Andre Dhominique Queiroz Santiago da Silva -,Bahia,1246,20:46
6,24,13,126,1,32:00,32,Georgemy Goncalves -,Vila Nova,1172,19:32
7,28,15,143,2,48:00,93,PFGonzalo Danilo Alvarez Menoni -,Cruzeiro Saf,1248,20:48
8,34,8,180,1,42:00,42,Daniel de Oliveira Sertanejo -,Novorizontino,1182,19:42
9,42,11,216,1,43:00,43,Leandro Carvalho da Silva -,Náutico,1333,22:13
10,43,3,224,2,25:00,70,Tiago Marques Rezende -,Criciúma,745,12:25
11,45,10,243,2,12:00,57,Watson Rennio Pires dos Santos Silva -,Londrina,1212,20:12
12,46,1,246,2,46:00,91,Nicolas Vichiatto da Silva -,Grêmio,1096,18:16
13,56,12,296,2,44:00,89,Bruno dos Santos Nazario -,Vasco da Gama,1244,20:44
14,61,17,326,1,38:00,38,Andre da Silva Lima -,Operário,1268,21:08
15,72,2,384,2,44:00,89,Denis Yashiro Camargo Iwamura -,Csa,1394,23:14
16,73,6,389,2,46:00,91,MGWillian Jair Santos -,Brusque,1246,20:46
17,75,19,403,2,46:00,91,Calyson Rubens Santiago Rosa -,Ituano,766,12:46
18,75,17,404,2,44:00,89,PFLuiz Fernando de Andrade Teixeira -,Operário,764,12:44
19,78,5,416,1,25:00,25,Lucas Araujo de Oliveira -,Sampaio Corrêa,685,11:25
20,83,3,446,1,25:00,25,Leonardo de Oliveira Costa -,Criciúma,1315,21:55
21,97,14,531,1,45:00,45,Ignacio da Silva Oliveira -,Bahia,1035,17:15
22,100,7,545,2,15:00,60,Diogo Mateus de Almeida Rodrigues Maciel -,Guarani,1275,21:15
23,105,10,572,1,46:00,46,Jhonny Lucas Flora Barboza -,Londrina,1186,19:46
24,107,4,589,2,48:00,93,Carlos Eduardo Soares Mota -,Sport,1398,23:18
25,108,9,593,2,32:00,77,Wellington Carvalho dos Santos -,Crb,1232,20:32
26,110,0,608,1,44:00,44,Helio Cezar Pinto dos Anjos -,Ponte Preta,1034,17:14
27,110,0,609,1,29:00,29,Bernardo de Paulo Silva -,Ponte Preta,1019,16:59
28,110,10,610,1,46:00,46,Gabriel dos Santos Francisco -,Londrina,1036,17:16
29,110,0,611,2,28:00,73,Thiago Oliveira Lopes -,Ponte Preta,1078,17:58
30,110,10,612,1,44:00,44,TGEdson Luiz da Silva -,Londrina,1034,17:14
31,112,1,624,2,50:00,95,Walter Kannemann -,Grêmio,1310,21:50
32,113,6,633,2,18:00,63,Gerson Rodolfo da Silva -,Brusque,738,12:18
33,117,11,646,2,52:00,97,Wellington da Silva Pinto -,Náutico,1252,20:52
34,123,3,670,1,46:00,46,Rayan Poltronieri Pereira -,Criciúma,1186,19:46
35,124,8,681,1,48:00,48,Gustavo Costa da Silva Machado -,Novorizontino,1008,16:48
36,124,8,682,2,38:00,83,Leonardo Lima dos Santos -,Novorizontino,1058,17:38
37,127,18,699,1,8:00,8,Pedro Henrique Perotti -,Chapecoense,1148,19:08
38,127,14,700,2,20:00,65,Patrick de Lucca Chaves de Oliveira -,Bahia,1220,20:20
39,128,0,703,2,46:00,91,Caique Franca Godoy -,Ponte Preta,1066,17:46
40,133,13,733,1,30:00,30,Luiz Eduardo Barros Cavalcanti -,Vila Nova,690,11:30
41,134,19,739,2,16:00,61,Lucas Vinicius Dias Costa -,Ituano,1216,20:16
42,134,15,740,1,25:00,25,FTEduester Lopes Rodrigues -,Cruzeiro Saf,1165,19:25
43,138,11,760,2,52:00,97,Victor Ferraz Macedo -,Náutico,772,12:52
44,138,11,761,2,8:00,53,Lucas Estella Perri -,Náutico,728,12:08
45,138,11,762,2,52:00,97,TGMarcos Antonio Leme -,Náutico,772,12:52
46,142,11,791,2,18:00,63,Joao Paulo Silveira dos Santos -,Náutico,1218,20:18
47,144,12,806,2,31:00,76,Anderson Conceição Benedito -,Vasco da Gama,1381,23:01
48,145,18,813,2,10:00,55,Pedro Henrique Perotti -,Chapecoense,1270,21:10
49,161,0,878,2,16:00,61,Wesley Fraga -,Ponte Preta,1216,20:16
50,181,15,970,1,44:00,44,Paulo Cesar Pezzolano Suarez -,Cruzeiro Saf,1184,19:44
51,193,2,1027,1,29:00,29,Wellington Ferreira Nascimento -,Csa,1169,19:29
52,197,4,1046,2,29:00,74,Fabio Augusto Schirmann -,Sport,1379,22:59
53,198,15,1052,2,18:00,63,Eduardo Schroeder Brock -,Cruzeiro Saf,1038,17:18
54,201,19,1070,2,27:00,72,Calyson Rubens Santiago Rosa -,Ituano,1317,21:57
55,204,13,1090,2,35:00,80,Alex da Silva -,Vila Nova,1205,20:05
56,209,1,1110,1,31:00,31,Joao Paulo de Souza Mares -,Grêmio,1141,19:01
57,211,9,1119,2,36:00,81,Daniel dos Santos Cerqueira -,Crb,1386,23:06
58,213,5,1133,2,5:00,50,PFDiego Kami Mura -,Sampaio Corrêa,1205,20:05
59,216,12,1153,2,42:00,87,Anderson Luis de Carvalho -,Vasco da Gama,1062,17:42
60,216,12,1154,2,43:00,88,PFDaniel Guimaraes Felix da Silva -,Vasco da Gama,1063,17:43
61,221,2,1178,2,44:00,89,Marcelo Henrique Passos Carne -,Csa,1334,22:14
62,222,9,1184,2,24:00,69,Anselmo Ramon Alves Herculano -,Crb,1224,20:24
63,226,17,1199,2,36:00,81,Thales Natanael Lira de Matos -,Operário,1236,20:36
64,231,9,1219,1,33:00,33,PFRodolfo Jesus de Oliveira -,Crb,1263,21:03
65,231,9,1220,1,22:00,22,Guilherme Kennedy Romao -,Crb,1252,20:52
66,232,2,1224,1,34:00,34,Joao Paulo Ferreira Lourenco -,Csa,994,16:34
67,233,6,1228,2,40:00,85,Luan Carlos Neto -,Brusque,1390,23:10
68,236,16,1243,2,49:00,94,Paulo de Souza Junior -,Tombense,769,12:49
69,237,14,1247,2,31:00,76,Vinicius Jose Ignacio -,Bahia,1381,23:01
70,237,19,1248,2,31:00,76,Jorge Andres Roa Jimenez -,Ituano,1381,23:01
71,240,7,1264,2,37:00,82,Richard Rios Montoya -,Guarani,757,12:37
72,246,15,1286,2,25:00,70,Paulo Cesar Pezzolano Suarez -,Cruzeiro Saf,1045,17:25
73,249,6,1302,2,49:00,94,Gerson Rodolfo da Silva -,Brusque,1099,18:19
74,252,4,1320,2,51:00,96,TGJorcey Anisio Garcia Santos -,Sport,1401,23:21
75,252,4,1321,2,40:00,85,Pedro Henrique Naressi Machado -,Sport,1390,23:10
76,253,10,1328,2,3:00,48,Joao Paulo da Silva -,Londrina,1203,20:03
77,254,8,1337,2,47:00,92,Jose Walber Mota de Amorim -,Novorizontino,1397,23:17
78,254,8,1338,2,47:00,92,TGCarlos Eduardo Moreira -,Novorizontino,1397,23:17
79,258,11,1356,2,27:00,72,Joao Paulo Silveira dos Santos -,Náutico,1377,22:57
80,267,5,1399,2,48:00,93,TGCelio Jose Rossi -,Sampaio Corrêa,1248,20:48
81,275,17,1437,2,49:00,94,Felipe Garcia Goncalves -,Operário,1339,22:19
82,278,15,1449,2,40:00,85,Rafael da Silva -,Cruzeiro Saf,1060,17:40
83,281,2,1469,2,11:00,56,Diego Renan de Lima Ferreira -,Csa,1031,17:11
84,282,6,1477,2,49:00,94,Diego Jardel Koester -,Brusque,1399,23:19
