id,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
0,0,0,0,2,07:00,52,Neilton Meira Mestzk,Guarani,1207,20:07
1,0,0,1,2,22:00,67,Mayksilvan da Silva Ferreira,Guarani,1222,20:22
2,0,0,2,1,24:00,24,Bruno Pereira Mendes,Guarani,1164,19:24
3,0,1,3,2,41:00,86,Julio Cesar Czarneski,Avaí,1241,20:41
4,1,2,4,1,32:00,32,Rafael Ferreira Donato,Vila Nova,992,16:32
5,1,2,5,2,41:00,86,Rian Caio Fleuri Pacheco,Vila Nova,1061,17:41
6,1,2,6,1,48:00,48,Vanderlei Farias da Silva,Vila Nova,1008,16:48
7,1,2,7,2,53:00,98,Diego Renan de Lima Ferreira,Vila Nova,1073,17:53
8,1,3,8,2,39:00,84,Cesar Henrique Martins,Novorizontino,1059,17:39
9,1,3,9,2,49:00,94,MGAndre Baesso Rodrigues,Novorizontino,1069,17:49
10,2,4,12,2,07:00,52,Marcelo Hermes,Criciúma,727,12:07
11,2,4,13,2,24:00,69,Cristovam Roberto Ribeiro da Silva,Criciúma,744,12:24
12,2,4,14,1,37:00,37,Romulo da Silva Machado,Criciúma,697,11:37
13,2,4,15,1,45:00,45,Claudio Aparecido Tencati,Criciúma,705,11:45
14,2,5,16,2,07:00,52,Kevin Peterson dos Santos Silva,Tombense,727,12:07
15,2,5,17,2,15:00,60,Bruno Cesar Pereira Silva,Tombense,735,12:15
16,2,5,18,1,48:00,48,Wesley Augusto Henn Marth,Tombense,708,11:48
17,2,5,19,1,48:00,48,Marcelo Jose de Lima Filho,Tombense,708,11:48
18,2,5,20,2,52:00,97,Egidio de Araujo Pereira Junior,Tombense,772,12:52
19,3,7,21,2,53:00,98,Luiz Otavio Anacleto Leandro,Ceará,1403,23:23
20,3,7,22,2,49:00,94,PFMartin Miguel Paolorosso,Ceará,1399,23:19
21,3,6,23,2,30:00,75,Paulo Victor Ferreira de Jesus,Ituano,1380,23:00
22,3,6,24,2,49:00,94,Gilmar Dal Pozzo,Ituano,1399,23:19
23,3,6,25,2,47:00,92,Marthã Fernando Goncalves Pimenta,Ituano,1397,23:17
24,3,6,26,1,45:00,45,Jose Aldo Soares de Oliveira Filho,Ituano,1335,22:15
