id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
0,1 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,1,14/04/2023,19:00,1140,19,Noite,Brinco de Ouro da Princesa / Campinas,0,1,4,0
1,2 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,1,15/04/2023,16:00,960,16,Tarde,Onésio Brasileiro Alvarenga / Goiania,2,3,6,2
2,3 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,1,16/04/2023,11:00,660,11,Manha,Heriberto Hulse / Criciuma,4,5,9,0
3,4 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,1,14/04/2023,21:30,1290,21,Noite,Novelli Junior / Itu,6,7,7,0
4,5 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,1,15/04/2023,17:00,1020,17,Tarde,José Maria de Campos Maia / Mirassol,8,9,6,0
5,6 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,1,16/04/2023,18:00,1080,18,Noite,Manoel Barradas / Salvador,10,11,8,0
6,7 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,1,15/04/2023,17:00,1020,17,Tarde,Governador João Castelo / Sao Luis,12,13,6,0
7,8 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,1,15/04/2023,18:15,1095,18,Noite,Alfredo Jaconi / Caxias do Sul,14,15,5,0
8,9 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,1,16/04/2023,15:30,930,15,Tarde,Jacy Scaff / Londrina,16,17,1,0
9,10 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,1,05/07/2023,19:00,1140,19,Noite,Rei Pelé / Maceio,18,19,1,0
10,11 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,2,21/04/2023,21:30,1290,21,Noite,Moisés Lucarelli / Campinas,11,4,5,0
11,12 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,2,21/04/2023,16:30,990,16,Tarde,Antônio Accioly / Goiania,13,18,5,1
12,13 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,2,22/04/2023,16:00,960,16,Tarde,Aderbal Ramos da Silva / Florianopolis,1,8,9,2
13,14 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,13,2,21/04/2023,19:00,1140,19,Noite,Santa Cruz / Ribeirao Preto,15,12,4,0
14,15 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,2,22/04/2023,17:00,1020,17,Tarde,Dr. Jorge Ismael de Biasi / Novo Horizonte,3,14,14,1
15,16 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,14,2,18/06/2023,18:00,1080,18,Noite,Adelmar da Costa Carvalho / Recife,19,2,3,0
16,17 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,2,22/04/2023,18:15,1095,18,Noite,Presidente Vargas / Fortaleza,7,0,6,1
17,18 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,15,2,23/04/2023,15:30,930,15,Tarde,Índio Condá / Chapeco,9,16,8,0
18,19 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,2,22/04/2023,11:00,660,11,Manha,Soares de Azevedo / Muriae,5,6,1,1
19,20 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,2,23/04/2023,18:00,1080,18,Noite,Maria Lamas Farache / Natal,17,10,3,1
20,21 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,3,28/04/2023,21:30,1290,21,Noite,Brinco de Ouro da Princesa / Campinas,0,6,11,0
21,22 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,18,3,30/04/2023,18:15,1095,18,Noite,Onésio Brasileiro Alvarenga / Goiania,2,14,9,0
22,23 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,3,28/04/2023,19:00,1140,19,Noite,Heriberto Hulse / Criciuma,4,1,5,1
23,24 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,19,3,29/04/2023,17:00,1020,17,Tarde,Santa Cruz / Ribeirao Preto,15,18,4,1
24,25 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,14,3,30/04/2023,15:30,930,15,Tarde,Dr. Jorge Ismael de Biasi / Novo Horizonte,3,19,2,0
25,26 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,20,3,28/04/2023,19:00,1140,19,Noite,Manoel Barradas / Salvador,10,16,3,0
26,27 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,21,3,29/04/2023,16:00,960,16,Tarde,Governador João Castelo / Sao Luis,12,8,8,0
27,28 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,3,29/04/2023,17:00,1020,17,Tarde,Índio Condá / Chapeco,9,11,10,1
28,29 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,22,3,29/04/2023,18:15,1095,18,Noite,Soares de Azevedo / Muriae,5,13,3,0
29,30 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,3,30/04/2023,18:00,1080,18,Noite,Maria Lamas Farache / Natal,17,7,12,0
30,31 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,23,4,02/05/2023,19:00,1140,19,Noite,Moisés Lucarelli / Campinas,11,15,5,1
31,32 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,4,02/05/2023,21:30,1290,21,Noite,Antônio Accioly / Goiania,13,9,7,0
32,33 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,24,4,03/05/2023,21:15,1275,21,Noite,Aderbal Ramos da Silva / Florianopolis,1,2,3,0
33,34 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,4,03/05/2023,19:00,1140,19,Noite,Novelli Junior / Itu,6,17,2,0
34,35 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,25,4,03/05/2023,19:00,1140,19,Noite,José Maria de Campos Maia / Mirassol,8,3,8,0
35,36 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,26,4,10/05/2023,21:30,1290,21,Noite,Adelmar da Costa Carvalho / Recife,19,5,4,0
36,37 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,4,10/05/2023,19:00,1140,19,Noite,Presidente Vargas / Fortaleza,7,10,4,0
37,38 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,27,4,03/05/2023,19:00,1140,19,Noite,Alfredo Jaconi / Caxias do Sul,14,0,8,0
38,39 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,4,01/05/2023,16:00,960,16,Tarde,Jacy Scaff / Londrina,16,4,3,0
39,40 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,28,4,02/05/2023,19:00,1140,19,Noite,Rei Pelé / Maceio,18,12,9,1
40,41 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,29,5,07/05/2023,11:00,660,11,Manha,Moisés Lucarelli / Campinas,11,7,8,0
41,42 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,30,5,08/05/2023,20:00,1200,20,Noite,Antônio Accioly / Goiania,13,16,5,1
42,43 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,5,06/05/2023,16:00,960,16,Tarde,Heriberto Hulse / Criciuma,4,6,1,0
43,44 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,31,5,05/05/2023,21:30,1290,21,Noite,Santa Cruz / Ribeirao Preto,15,10,5,0
44,45 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,5,06/05/2023,18:15,1095,18,Noite,José Maria de Campos Maia / Mirassol,8,2,7,0
45,46 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,32,5,07/05/2023,19:00,1140,19,Noite,Adelmar da Costa Carvalho / Recife,19,0,4,0
46,47 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,5,06/05/2023,18:15,1095,18,Noite,Governador João Castelo / Sao Luis,12,14,8,2
47,48 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,27,5,06/05/2023,20:30,1230,20,Noite,Índio Condá / Chapeco,9,3,7,0
48,49 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,33,5,06/05/2023,18:15,1095,18,Noite,Soares de Azevedo / Muriae,5,1,9,2
49,50 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,26,5,06/05/2023,20:30,1230,20,Noite,Rei Pelé / Maceio,18,17,8,0
50,51 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,6,13/05/2023,17:00,1020,17,Tarde,Brinco de Ouro da Princesa / Campinas,0,12,4,0
51,52 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,34,6,12/05/2023,19:00,1140,19,Noite,Onésio Brasileiro Alvarenga / Goiania,2,4,7,2
52,53 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,35,6,12/05/2023,21:30,1290,21,Noite,Aderbal Ramos da Silva / Florianopolis,1,9,7,1
53,54 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,6,14/05/2023,20:30,1230,20,Noite,Novelli Junior / Itu,6,19,8,0
54,55 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,36,6,13/05/2023,17:00,1020,17,Tarde,Dr. Jorge Ismael de Biasi / Novo Horizonte,3,18,4,0
55,56 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,6,14/05/2023,18:00,1080,18,Noite,Manoel Barradas / Salvador,10,13,5,0
56,57 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,37,6,13/05/2023,18:15,1095,18,Noite,Presidente Vargas / Fortaleza,7,5,6,0
57,58 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,38,6,13/05/2023,16:00,960,16,Tarde,Alfredo Jaconi / Caxias do Sul,14,8,9,0
58,59 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,6,14/05/2023,15:30,930,15,Tarde,Jacy Scaff / Londrina,16,11,3,1
59,60 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,25,6,14/05/2023,18:00,1080,18,Noite,Maria Lamas Farache / Natal,17,15,5,0
60,61 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,7,21/05/2023,18:00,1080,18,Noite,Moisés Lucarelli / Campinas,11,0,6,0
61,62 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,24,7,19/05/2023,21:30,1290,21,Noite,Antônio Accioly / Goiania,13,1,3,0
62,63 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,39,7,21/05/2023,15:30,930,15,Tarde,Heriberto Hulse / Criciuma,4,7,8,0
63,64 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,7,20/05/2023,17:00,1020,17,Tarde,Novelli Junior / Itu,6,3,5,0
64,65 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,34,7,19/05/2023,19:00,1140,19,Noite,José Maria de Campos Maia / Mirassol,8,10,4,0
65,66 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,7,20/05/2023,16:00,960,16,Tarde,Adelmar da Costa Carvalho / Recife,19,15,3,0
66,67 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,7,20/05/2023,17:00,1020,17,Tarde,Governador João Castelo / Sao Luis,12,17,2,0
67,68 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,7,21/05/2023,11:00,660,11,Manha,Índio Condá / Chapeco,9,14,4,0
68,69 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,21,7,19/05/2023,19:00,1140,19,Noite,Soares de Azevedo / Muriae,5,16,3,0
69,70 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,27,7,21/05/2023,18:15,1095,18,Noite,Rei Pelé / Maceio,18,2,3,2
70,71 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,20,8,24/05/2023,21:15,1275,21,Noite,Brinco de Ouro da Princesa / Campinas,0,9,9,0
71,72 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,25,8,24/05/2023,19:00,1140,19,Noite,Onésio Brasileiro Alvarenga / Goiania,2,6,8,0
72,73 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,8,24/05/2023,21:30,1290,21,Noite,Heriberto Hulse / Criciuma,4,19,3,1
73,74 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,8,23/05/2023,19:00,1140,19,Noite,Santa Cruz / Ribeirao Preto,15,8,2,0
74,75 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,23,8,23/05/2023,21:30,1290,21,Noite,Dr. Jorge Ismael de Biasi / Novo Horizonte,3,1,4,0
75,76 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,40,8,24/05/2023,19:00,1140,19,Noite,Manoel Barradas / Salvador,10,18,6,0
76,77 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,15,8,24/05/2023,21:30,1290,21,Noite,Governador João Castelo / Sao Luis,12,11,7,0
77,78 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,14,8,24/05/2023,19:00,1140,19,Noite,Alfredo Jaconi / Caxias do Sul,14,13,4,0
78,79 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,8,24/05/2023,19:00,1140,19,Noite,Jacy Scaff / Londrina,16,7,3,0
79,80 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,41,8,23/05/2023,21:30,1290,21,Noite,Maria Lamas Farache / Natal,17,5,9,0
80,81 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,9,28/05/2023,11:00,660,11,Manha,Moisés Lucarelli / Campinas,11,2,6,0
81,82 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,9,27/05/2023,18:00,1080,18,Noite,Antônio Accioly / Goiania,13,15,6,0
82,83 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,9,27/05/2023,17:30,1050,17,Tarde,Aderbal Ramos da Silva / Florianopolis,1,10,6,0
83,84 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,14,9,27/05/2023,17:00,1020,17,Tarde,Novelli Junior / Itu,6,16,6,0
84,85 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,9,28/05/2023,15:30,930,15,Tarde,José Maria de Campos Maia / Mirassol,8,4,6,1
85,86 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,27,9,28/05/2023,18:00,1080,18,Noite,Adelmar da Costa Carvalho / Recife,19,17,3,0
86,87 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,34,9,28/05/2023,15:30,930,15,Tarde,Governador Plácido Aderaldo Castelo / Fortaleza,7,3,5,0
