id,nome,cbf
0,Luan Dias da Silva,10
1,Geovane da Silva de Souza,22
2,Anderson Conceição Benedito,4
3,Matheus Bueno Batista,18
4,Heitor Rodrigues da Fonseca,2
5,Bruno Ferreira Melo,26
6,Ramon Rodrigo de Carvalho,21
7,Wellison Matheus Rodrigues Regis,77
8,Gabriel Novaes Fernandes,35
9,Lucas Ronier Vieira Pires,98
10,Fabio Augusto Luciano da Silva,28
11,Mateus Henrique Alves Silva,36
12,Matheus Barbosa Teixeira,5
13,Carlos Paulo Cardoso Gomes Caçote,TC
14,Nicolas Vichiatto da Silva,30
15,Bernardo Schappo,4
16,Leonardo Augusto dos Santos Pereira,38
17,Caio Cesar da Silva Silveira,6
18,Matheus Antunes Ribeiro,2
19,Facundo Labandeira Castro,30
20,Fabio Augusto Schirmann,3
21,Bryan Borges Mascarenhas,21
22,Yeferson Agustin Quintana Alonso,3
23,Helio Cezar Pinto dos Anjos,TC
24,Michel Macedo Rocha Machado,16
25,Joaquim Henrique Pereira Silva,6
26,Tomás Eduardo Rincón Hernández,8
27,Jose Walber Mota de Amorim,3
28,Thomas Jaguaribe Bedinelli,30
29,Mario Sergio Pereira Junior,89
30,Alex Roberto Santana Rafael,23
31,Anderson Indalencio da Rosa,70
32,Wanderson Santos Pereira,33
33,Diego Barbosa Tavares,11
34,MGAllan Ferreira Munhoz da Silva,
35,Mateus Cardoso Francisco,99
36,MDFrancys Karlus Maia Franca,
37,Pedro Antonio Pimentel Ferreira,27
38,Emaxwell Souza de Lima,77
39,Fabricio Dominguez Huertas,8
40,Cristian Jonatan Ortiz,59
41,Jorge Andres Roa Jimenez,5
42,Alexis Ivan Alvarino,3
43,Jose Roberto Assunçao de Araujo Filho,99
44,Messias Rodrigues da Silva Junior,37
45,Wellington Aparecido Martins,5
46,Aylon Darwin Tavella,11
47,Tadeu Antonio Ferreira,23
48,Guilherme Castilho Carvalho,99
49,Breno Herculano Almeida,18
50,Cristiano da Silva Leite,12
51,Luis Fernando Haquin Lopez,23
52,Edson Felipe da Cruz,19
53,Joilson de Jesus Demetrio Cardoso,13
54,Jeferson Marinho dos Santos,9
55,Wellison Matheus Rodrigues Regis,77
56,Jose Mario de Bona,31
57,Ivan Arturo Torres Riveros,11
58,Sergio Raphael dos Anjos Raphael,6
59,Matheus Fernando Cavichioli,26
60,Guilherme Seefeldt Krolow,35
61,PFMarcelo Rohling,
62,Bruno Felipe de Oliveira,40
63,João Pedro Galvão de Carvalho -,57
64,Paulo Victor de Almeida Barbosa,21
65,Jorge Eduardo Recalde Ramírez,28
66,Matheus Felipe Santos Nascimento,42
67,Lucas Ramon Batista Silva,19
68,Joao Paulo Ferreira Lourenco,97
69,Richardson Fernandes dos Santos,26
70,Rai dos Reis Ramos,2
71,Fernando Jose Marques Maciel,7
72,Luiz Otavio da Silva Santos,4
73,David Ricardo Loiola da Silva,4
74,Matheus Felipe Santos Nascimento -,42
75,Salatiel de Oliveira Gabriel Junior,9
76,Jose Walber Mota de Amorim,3
77,Leonardo Augusto de Oliveira,13
78,Alberto Valentim do Carmo Neto,TC
79,Douglas Gonzaga Leite,AT
80,Rodrigo Henrique Santos de Souza,75
81,Luis Fellipe Campos Doria,25
82,Wagner da Silva Souza -,30
83,Mario Sergio Valerio,33
84,Joao Pedro Chermont Crema,44
85,Guilherme Xavier de Oliveira,17
86,Fabiano da Silva Souza,6
87,Fabio Augusto Schirmann,3
88,Thiago Fernandes Pessoa,14
89,Wiliam Silva Gomes Barbio,19
90,Alexis Ivan Alvarino,3
91,Fabiano da Silva Souza -,6
92,Guilherme de Queiroz Goncalves,17
93,Bernardo Marcos Lemes,23
94,Mateus Cardoso Francisco,99
95,Gerson Rodolfo da Silva,5
96,Lucas Baptista Felix,10
97,Leandro Damiao da Silva dos Santos,9
98,Bruno Ferreira Melo,26
99,Bryan Borges Mascarenhas,21
100,Matheus de Mello Costa,2
101,Patrick de Carvalho Brey,8
102,Helio Cezar Pinto dos Anjos,TC
103,Carlos Eduardo Maia do Nascimento,25
104,Wallison Nunes Silva,13
105,Joao Vitor Hipolito Costa,16
106,Jean Dias da Costa,22
107,Bryan Borges Mascarenhas -,21
108,Gustavo Coutinho Silva Lopes,9
109,Mariano Andres Soso,TC
110,Joao Vitor de Souza Martins,15
111,Eric Almeida de Melo,14
112,Igor Henrique Martins Machado,18
