id,nome,estado,completo
0,Vila Nova,GO,Vila Nova/GO
1,Guarani,SP,Guarani/SP
2,Ponte Preta,SP,Ponte Preta/SP
3,Coritiba S.a.f.,PR,Coritiba S.a.f./PR
4,Botafogo,SP,Botafogo/SP
5,America Saf,MG,America Saf/MG
6,Gremio Novorizontino - Saf,SP,Gremio Novorizontino - Saf/SP
7,Crb,AL,Crb/AL
8,Santos,SP,Santos/SP
9,Paysandu,PA,Paysandu/PA
10,Chapecoense,SC,Chapecoense/SC
11,Ituano,SP,Ituano/SP
12,Brusque,SC,Brusque/SC
13,Mirassol,SP,Mirassol/SP
14,Operário,PR,Operário/PR
15,Avaí,SC,Avaí/SC
16,Amazonas Fc,AM,Amazonas Fc/AM
17,Sport,PE,Sport/PE
18,Ceará,CE,Ceará/CE
19,Goiás,GO,Goiás/GO
20,Santos Fc,SP,Santos Fc/SP
