id,nome,credencial,estado
0,Bruno Arleu de Araujo,FIFA,RJ
1,Anderson Daronco,FIFA,RS
2,Wagner do Nascimento Magalhaes,FIFA,RJ
3,Caio Max Augusto Vieira,AB,RN
4,Wilton Pereira Sampaio,FIFA,GO
5,Rodolpho Toski Marques,FIFA,PR
6,Felipe Fernandes de Lima,AB,MG
7,Braulio da Silva Machado,FIFA,SC
8,Luiz Flavio de Oliveira,FIFA,SP
9,Raphael Claus,FIFA,SP
10,Ramon Abatti Abel,AB,SC
11,Paulo Roberto Alves Junior,AB,PR
12,Flavio Rodrigues de Souza,FIFA,SP
13,Savio Pereira Sampaio,FIFA,DF
14,Antonio Dib Moraes de Sousa,AB,PI
15,Jefferson Ferreira de Moraes,AB,GO
16,Leandro Pedro Vuaden,MTR,RS
17,Douglas Marques das Flores,AB,SP
18,Alexandre Vargas Tavares de Jesus,AB,RJ
19,Marcelo de Lima Henrique,MTR,CE
20,Andre Luiz de Freitas Castro,MTR,GO
21,Paulo Henrique Schleich Vollkopf,AB,MS
22,Jean Pierre Goncalves Lima,AB,RS
23,Vinicius Gonçalves Dias Araujo,AB,SP
24,Paulo Cesar Zanovelli da Silva,AB,MG
25,Diego Pombo Lopez,AB,BA
26,Edina Alves Batista,FIFA,SP
27,Marielson Alves Silva,AB,BA
28,Dyorgines Jose Padovani de Andrade,AB,ES
29,José Mendonça da Silva Junior,AB,PR
30,Maguielson Lima Barbosa,AB,DF
31,Vinicius Goncalves Dias Araujo,AB,SP
32,Rafael Rodrigo Klein,AB,RS
33,Jose Mendonca da Silva Junior,AB,PR
34,Rodrigo Jose Pereira de Lima,AB,PE
35,Bruno Mota Correia,BAS,RJ
36,Denis da Silva Ribeiro Serafim,AB,AL
37,Joao Vitor Gobi,CD,SP
38,Andre Luiz Skettino Policarpo Bento,AB,MG
39,Yuri Elino Ferreira da Cruz,AB,RJ
40,Matheus Delgado Candançan,CD,SP
41,Arthur Gomes Rabelo,AB,ES
42,Davi de Oliveira Lacerda,CD,ES
43,Jonathan Benkenstein Pinheiro,CD,RS
44,Paulo Belence Alves dos Prazeres Filho,CD,PE
45,Alex Gomes Stefano,AB,RJ
46,Bruno Pereira Vasconcelos,AB,BA
47,Lucas Paulo Torezin,AB,PR
48,Fabio Augusto Santos Sa Junior,AB,SE
49,Gustavo Ervino Bauermann,AB,SC
50,Kleber Ariel Goncalves da Silva,BAS,PR
51,Anderson Ribeiro Goncalves,CD,GO
52,Emerson Ricardo de Almeida Andrade,AB,BA
53,Luciano da Silva Miranda Filho,AB,CE
54,Lucas Casagrande,BAS,PR
55,Thaillan Azevedo Gomes,CD,AP
56,Thiago Luis Scarascati,AB,SP
57,Alisson Sidnei Furtado,AB,TO
58,Rodrigo Batista Raposo,AB,DF
59,Fábio Augusto Santos Sá Junior,AB,SE
60,Dewson Fernando Freitas da Silva,MTR,PA
61,Ivan da Silva Guimarães Junior,AB,AM
62,Zandick Gondim Alves Junior,AB,RN
63,Rafael Martins de Sá,AB,RJ
64,Rafael Traci,MTR,SC
65,Douglas Schwengber da Silva,AB,RS
66,Heber Roberto Lopes,MTR,SC
67,Paulo Henrique de Melo Salmazio,AB,MS
68,Luiz Augusto Silveira Tisne,AB,SC
69,Diego da Costa Cidral,AB,SC
70,Felipe da Silva Gonçalves Paludo,AB,RJ
71,Leonardo Willers Lorenzatto,AB,MT
72,Vinicius Gomes do Amaral,AB,MG
73,Leonilson Fernandes Trigueiro Filho,AB,RN
74,Leo Simão Holanda,AB,CE
75,Roger Goulart,AB,RS
76,Felipe da Silva Goncalves Paludo,AB,RJ
77,Murilo Francisco Misson Junior,CD,MG
78,Leonardo Ferreira Lima,AB,PR
79,Michelangelo Martins de Almeida Junior,AB,PE
80,Afro Rocha de Carvalho Filho,CD,PB
81,Deborah Cecilia Cruz Correia,FIFA,PE
82,Jonathan Antero Silva,AB,RO
83,Rafael Martins Diniz,AB,DF
84,Ivan da Silva Guimaraes Junior,AB,AM
85,Thayslane de Melo Costa,FIFA,SE
86,Tarcizo Pinheiro Caetano,CD,RJ
87,Luiz Cesar de Oliveira Magalhaes,AB,CE
88,Lucas Canetto Bellote,CD,SP
89,Wallas Martins Lopes,BAS,MA
90,Lucas Guimaraes Rechatiko Horn,CD,RS
91,Fernando Antonio Mendes de Salles Nascimento Filho,CD,PA
92,Paulo Jose Souza Mourão,CD,MA
93,Marcos Sousa,BAS,TO
94,Bruno Nogueira Prado,BAS,BA
95,Marcio dos Santos Oliveira,CD,AL
96,Angleison Marcos Vieira Monteiro,BAS,RO
97,Fabiano Monteiro dos Santos,BAS,SP
98,Joanilson Scarcella de Lima,CD,CE
99,Emerson Souza Silva,BAS,BA
100,Leo Simao Holanda,AB,CE
101,Hieger Tulio Cardoso,BAS,MG
102,Murilo Ugolini Klein,CD,PR
103,Paulo Jose Souza Mourao,CD,MA
104,Rodrigo da Fonseca Silva,AB,MT
105,Kleber Ariel Goncalves Silva,BAS,PR
106,Charly Wendy Straub Deretti,FIFA,SC
107,Daiane Muniz,FIFA,SP
108,Raimundo Rodrigues de Oliveira Junior,CD,CE
109,Olivaldo Jose Alves Moraes,CD,PA
110,Julio Cesar Pfleger,BAS,SC
