id,nome,estado,completo
0,Atlético Mineiro,MG,Atlético Mineiro/MG
1,Internacional,RS,Internacional/RS
2,Fluminense,RJ,Fluminense/RJ
3,Santos,SP,Santos/SP
4,São Paulo,SP,São Paulo/SP
5,Athletico Paranaense,PR,Athletico Paranaense/PR
6,Palmeiras,SP,Palmeiras/SP
7,Ceará,CE,Ceará/CE
8,Botafogo,RJ,Botafogo/RJ
9,Corinthians,SP,Corinthians/SP
10,Juventude,RS,Juventude/RS
11,Red Bull Bragantino,SP,Red Bull Bragantino/SP
12,Fortaleza,CE,Fortaleza/CE
13,Cuiabá Saf,MT,Cuiabá Saf/MT
14,Atlético,GO,Atlético/GO
15,Flamengo,RJ,Flamengo/RJ
16,Avaí,SC,Avaí/SC
17,América Fc Saf,MG,América Fc Saf/MG
18,Coritiba,PR,Coritiba/PR
19,Goiás,GO,Goiás/GO
20,Cruzeiro Saf,MG,Cruzeiro Saf/MG
21,Bahia,BA,Bahia/BA
22,Vasco da Gama S.a.f.,RJ,Vasco da Gama S.a.f./RJ
23,Grêmio,RS,Grêmio/RS
24,Coritiba S.a.f.,PR,Coritiba S.a.f./PR
25,América Fc S.a.f.,MG,América Fc S.a.f./MG
26,America Fc S.a.f.,MG,America Fc S.a.f./MG
27,America Saf,MG,America Saf/MG
28,Atlético Mineiro S.a.f.,MG,Atlético Mineiro S.a.f./MG
29,Atlético Mineiro SAF,MG,Atlético Mineiro SAF/MG
30,Atlético Mineiro Saf,MG,Atlético Mineiro Saf/MG
31,América Saf,MG,América Saf/MG
32,Vitória,BA,Vitória/BA
33,Criciúma,SC,Criciúma/SC
34,Atlético Goianiense Saf,GO,Atlético Goianiense Saf/GO
35,Ponte Preta,SP,Ponte Preta/SP
36,Csa,AL,Csa/AL
37,Sport,PE,Sport/PE
38,Sampaio Corrêa,MA,Sampaio Corrêa/MA
39,Brusque,SC,Brusque/SC
40,Guarani,SP,Guarani/SP
41,Novorizontino,SP,Novorizontino/SP
42,Crb,AL,Crb/AL
43,Londrina,PR,Londrina/PR
44,Náutico,PE,Náutico/PE
45,Vasco da Gama,RJ,Vasco da Gama/RJ
46,Vila Nova,GO,Vila Nova/GO
47,Tombense,MG,Tombense/MG
48,Operário,PR,Operário/PR
49,Chapecoense,SC,Chapecoense/SC
50,Ituano,SP,Ituano/SP
51,CRB,AL,CRB/AL
52,CSA,AL,CSA/AL
53,Mirassol,SP,Mirassol/SP
54,Abc,RN,Abc/RN
55,Gremio Novorizontino - Saf,SP,Gremio Novorizontino - Saf/SP
56,Paysandu,PA,Paysandu/PA
57,Amazonas Fc,AM,Amazonas Fc/AM
58,Santos Fc,SP,Santos Fc/SP
