id,campeonatoId,rodada,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
0,1,2,14,11,69,2,31:00,76,Brenno Oliveira Fraga Costa -,Grêmio,1351,22:31
1,1,2,14,11,70,2,14:00,59,Jhonata Robert Alves da Silva -,Grêmio,1334,22:14
2,1,2,15,8,76,2,44:00,89,Vitor Hugo Batista Araujo de Mendonça -,Internacional,1064,17:44
3,1,2,15,8,77,1,44:00,44,Pedro Henrique Alves Santana -,Internacional,1004,16:44
4,1,2,18,14,94,2,41:00,86,Paulo Autuori de Mello -,Athletico Paranaense,1196,19:56
5,1,3,25,9,131,2,27:00,72,Emaxwell Souza de Lima -,Sport,1317,21:57
6,1,3,26,8,141,2,7:00,52,Lucas Ribeiro dos Santos -,Internacional,1297,21:37
7,1,3,29,3,162,1,9:00,9,Willian Marlon Ferreira Moraes -,Atlético,1149,19:09
8,1,4,32,4,178,1,41:00,41,Rodrigo Nestor Bertalia -,São Paulo,1181,19:41
9,1,4,34,6,185,1,45:00,45,Avlamir Dirceo Stival -,Atlético Mineiro,1185,19:45
10,1,4,39,3,221,2,44:00,89,Anderson Leal Gomes -,Atlético,1244,20:44
11,1,5,41,15,235,2,47:00,92,Cauan Felipe de Almeida -,America,767,12:47
12,1,6,53,15,283,2,28:00,73,Ricardo Cesar Dantas da Silva -,America,1048,17:28
13,1,6,56,14,301,2,42:00,87,Marcio Almeida de Oliveira -,Athletico Paranaense,1392,23:12
14,1,6,56,14,302,1,13:00,13,Richard Candido Coelho -,Athletico Paranaense,1303,21:43
15,1,6,58,8,314,2,50:00,95,Danilo Fernandes Batista -,Internacional,1250,20:50
16,1,6,58,8,315,2,50:00,95,Caio Vidal Rocha -,Internacional,1250,20:50
17,1,6,58,16,316,2,50:00,95,Bruno da Silva Costa -,Chapecoense,1250,20:50
18,1,7,60,5,328,2,5:00,50,Abel Mathias Hernandez Platero -,Fluminense,1025,17:05
19,1,7,62,6,344,2,46:00,91,Allan Rodrigues de Souza -,Atlético Mineiro,1336,22:16
20,1,7,64,11,356,2,13:00,58,Walter Kannemann -,Grêmio,1273,21:13
21,1,8,74,1,396,2,17:00,62,Benjamin Kuscevic Jaramillo -,Palmeiras,1217,20:17
22,1,8,75,7,406,2,8:00,53,Juan Sebastian Quintero Fletcher -,Fortaleza,1028,17:08
23,1,8,77,10,417,2,44:00,89,Cleber Bomfim de Jesus -,Ceará,1064,17:44
24,1,9,85,19,456,2,24:00,69,Guilherme Castilho Carvalho -,Juventude,1179,19:39
25,1,11,105,7,551,2,37:00,82,Gaston Ricardo Liendo -,Fortaleza,1327,22:07
26,1,11,109,18,568,1,38:00,38,Joao Pedro Vilardi Pinto -,Cuiabá,1133,18:53
27,1,12,114,19,596,2,34:00,79,Guilherme Castilho Carvalho -,Juventude,1324,22:04
28,1,12,114,19,597,2,41:00,86,Marcos Vinicius Santos Goncalves -,Juventude,1331,22:11
29,1,13,120,0,641,2,34:00,79,MDMarcio Alves Tannure -,Flamengo,1054,17:34
30,1,13,125,17,665,1,48:00,48,Mauricio Nogueira Barbieri -,Red Bull Bragantino,1008,16:48
31,1,13,128,16,685,2,36:00,81,MDSamuel Ricardo Banaszeski -,Chapecoense,1176,19:36
32,1,13,129,18,689,2,48:00,93,Anderson Conceicao Benedito -,Cuiabá,1308,21:48
33,1,14,132,4,701,2,49:00,94,Emiliano Ariel Rigoni -,São Paulo,1249,20:49
34,1,14,133,6,710,2,44:00,89,Eduardo Jesus Vargas Rojas -,Atlético Mineiro,1064,17:44
35,1,14,134,8,716,2,45:00,90,Moises Roberto Barbosa -,Internacional,1305,21:45
36,1,14,138,16,735,2,35:00,80,Keiller da Silva Nunes -,Chapecoense,1190,19:50
37,1,14,138,16,736,1,43:00,43,Emilio Carlos Tannus Faro -,Chapecoense,1138,18:58
38,1,14,139,3,741,2,46:00,91,FTJoao Rodrigues dos Santos Neto -,Atlético,1336,22:16
39,1,15,140,0,746,2,17:00,62,Gabriel Barbosa Almeida -,Flamengo,1172,19:32
40,1,15,141,1,756,2,44:00,89,Victor Luis Chuab Zamblauskas -,Palmeiras,1364,22:44
41,1,15,141,7,757,2,25:00,70,Luis Antonio Ferreira Rodrigues -,Fortaleza,1345,22:25
42,1,15,147,4,785,2,36:00,81,Martin Nicolas Benitez -,São Paulo,1176,19:36
43,1,15,149,18,794,2,44:00,89,Felipe Marques da Silva -,Cuiabá,1364,22:44
44,1,16,153,1,811,1,35:00,35,Patrick de Paula Carreiro -,Palmeiras,1175,19:35
45,1,16,153,1,812,1,36:00,36,Abel Fernando Moreira Ferreira -,Palmeiras,1176,19:36
46,1,16,153,1,813,1,45:00,45,Joao Miguel Barreto Martins -,Palmeiras,1185,19:45
47,1,16,155,13,819,2,47:00,92,Marcelo Faria Fernandes -,Santos,1202,20:02
48,1,16,158,16,832,2,18:00,63,Ricardo Martins de Araujo -,Chapecoense,1278,21:18
49,1,17,167,14,859,2,46:00,91,Thiago Heleno Henrique Ferreira -,Athletico Paranaense,1066,17:46
50,1,17,169,16,871,2,46:00,91,Luis Carlos de Oliveira Preto -,Chapecoense,1126,18:46
51,1,17,169,3,872,2,44:00,89,Luis Eduardo Marques dos Santos -,Atlético,1124,18:44
52,1,18,174,11,897,2,34:00,79,Maicon Thiago Pereira de Souza -,Grêmio,1354,22:34
53,1,18,176,9,907,2,37:00,82,Thiago Neves Augusto -,Sport,1117,18:37
54,1,19,187,9,972,2,21:00,66,Anderson Hernanes de Carvalho Viana Lima -,Sport,1176,19:36
55,1,20,191,1,988,2,50:00,95,Jose Rafael Vivian -,Palmeiras,1070,17:50
56,1,20,197,17,1012,2,46:00,91,Artur Victor Guimaraes -,Red Bull Bragantino,1246,20:46
57,1,20,198,18,1021,2,51:00,96,Clayson Henrique da Silva Vieira -,Cuiabá,1131,18:51
58,1,21,204,7,1049,2,26:00,71,David Correa da Fonseca -,Fortaleza,746,12:26
59,1,21,204,8,1050,2,26:00,71,Renzo Saravia -,Internacional,746,12:26
60,1,21,207,19,1067,1,22:00,22,Rafael Forster -,Juventude,1147,19:07
61,1,21,209,18,1077,2,50:00,95,Marllon Goncalves Jeronimo Borges -,Cuiabá,1310,21:50
62,1,22,215,16,1096,2,22:00,67,Anderson Jordan da Silva Cordeiro -,Chapecoense,1102,18:22
63,1,23,226,10,1152,2,37:00,82,Cleber Bomfim de Jesus -,Ceará,1237,20:37
64,1,24,231,12,1163,1,48:00,48,Lucas Araujo de Oliveira -,Bahia,1338,22:18
65,1,25,240,3,1210,2,50:00,95,Eduardo do Nascimento Souza -,Atlético,1100,18:20
66,1,25,243,10,1229,1,32:00,32,Tiago Retzlaff Nunes -,Ceará,1022,17:02
67,1,25,245,7,1237,2,23:00,68,Ronald dos Santos Lopes -,Fortaleza,1223,20:23
68,1,26,256,1,1293,2,37:00,82,Wesley Ribeiro Silva -,Palmeiras,1387,23:07
69,1,26,257,17,1300,1,29:00,29,Eric dos Santos Rodrigues -,Red Bull Bragantino,1169,19:29
70,1,26,258,16,1310,2,50:00,95,Adelino Pereira de Camargo Neto -,Chapecoense,1250,20:50
71,1,27,261,8,1325,2,5:00,50,Edenilson Andrade dos Santos -,Internacional,1025,17:05
72,1,28,272,13,1376,1,46:00,46,Jean Mota Oliveira de Sousa -,Santos,1066,17:46
73,1,28,274,8,1383,2,49:00,94,Patrick Bezerra do Nascimento -,Internacional,1069,17:49
74,1,28,274,2,1384,2,49:00,94,João Vitor Xavier de Almeida -,Corinthians,1069,17:49
75,1,28,279,11,1408,2,24:00,69,Jonathan Doin -,Grêmio,1284,21:24
